structure,workload,n,operation,time_ms,run_id
vEB,uniform,20000,search,0.634265,3
BST,sorted,20000,insert,909.571,1
BST,sorted,20000,insert,1139.52,2
BST,sorted,20000,insert,1112.9,3
BST,sorted,20000,search,725.281,1
BST,sorted,20000,search,746.755,2
BST,sorted,20000,search,676.273,3
BTree,sorted,20000,insert,1.62977,1
BTree,sorted,20000,insert,1.79658,2
BTree,sorted,20000,insert,2.00287,3
BTree,sorted,20000,search,1.05001,1
BTree,sorted,20000,search,0.971959,2
BTree,sorted,20000,search,0.971362,3
vEB,sorted,20000,build,0.477883,1
vEB,sorted,20000,build,0.267521,2
vEB,sorted,20000,build,0.259213,3
vEB,sorted,20000,search,0.632285,1
vEB,sorted,20000,search,0.67524,2
vEB,sorted,20000,search,0.668323,3
BST,reverse,20000,insert,914.93,1
BST,reverse,20000,insert,1130.06,2
BST,reverse,20000,insert,1018.54,3
BST,reverse,20000,search,555.965,1
BST,reverse,20000,search,558.837,2
BST,reverse,20000,search,593.418,3
BTree,reverse,20000,insert,2.22059,1
BTree,reverse,20000,insert,2.35479,2
BTree,reverse,20000,insert,2.48569,3
BTree,reverse,20000,search,0.943736,1
BTree,reverse,20000,search,0.980755,2
BTree,reverse,20000,search,0.896994,3
vEB,reverse,20000,build,0.531631,1
vEB,reverse,20000,build,0.268145,2
vEB,reverse,20000,build,0.261891,3
vEB,reverse,20000,search,0.662921,1
vEB,reverse,20000,search,0.655816,2
vEB,reverse,20000,search,0.690345,3
BST,zipfian,20000,insert,21.3392,1
BST,zipfian,20000,insert,26.1986,2
BST,zipfian,20000,insert,25.3812,3
BST,zipfian,20000,search,0.782439,1
BST,zipfian,20000,search,0.752075,2
BST,zipfian,20000,search,0.745473,3
BTree,zipfian,20000,insert,3.04994,1
BTree,zipfian,20000,insert,3.12989,2
BTree,zipfian,20000,insert,3.13745,3
BTree,zipfian,20000,search,1.20799,1
BTree,zipfian,20000,search,1.1397,2
BTree,zipfian,20000,search,1.26744,3
vEB,zipfian,20000,build,0.624546,1
vEB,zipfian,20000,build,0.36052,2
vEB,zipfian,20000,build,0.315449,3
vEB,zipfian,20000,search,0.308026,1
vEB,zipfian,20000,search,0.321159,2
vEB,zipfian,20000,search,0.311912,3
BST,uniform,50000,insert,8.72053,1
BST,uniform,50000,insert,7.83303,2
BST,uniform,50000,insert,7.83943,3
BST,uniform,50000,search,4.28116,1
BST,uniform,50000,search,4.38406,2
BST,uniform,50000,search,4.42603,3
BTree,uniform,50000,insert,9.31774,1
BTree,uniform,50000,insert,10.1435,2
BTree,uniform,50000,insert,10.0672,3
BTree,uniform,50000,search,6.81511,1
BTree,uniform,50000,search,6.79829,2
BTree,uniform,50000,search,6.7495,3
vEB,uniform,50000,build,1.21931,1
vEB,uniform,50000,build,0.690372,2
vEB,uniform,50000,build,0.746635,3
vEB,uniform,50000,search,1.9024,1
vEB,uniform,50000,search,1.99545,2
vEB,uniform,50000,search,1.91272,3
BST,sorted,50000,insert,6509.06,1
BST,sorted,50000,insert,6623.35,2
BST,sorted,50000,insert,7269.23,3
BST,sorted,50000,search,5223.37,1
BST,sorted,50000,search,4231.59,2
BST,sorted,50000,search,4652.1,3
BTree,sorted,50000,insert,4.62051,1
BTree,sorted,50000,insert,5.14794,2
BTree,sorted,50000,insert,5.30285,3
BTree,sorted,50000,search,2.73723,1
BTree,sorted,50000,search,2.70737,2
BTree,sorted,50000,search,2.66585,3
vEB,sorted,50000,build,1.11828,1
vEB,sorted,50000,build,0.809477,2
vEB,sorted,50000,build,0.739486,3
vEB,sorted,50000,search,1.98176,1
vEB,sorted,50000,search,1.94479,2
vEB,sorted,50000,search,1.9637,3
